Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;Sum;Average;ID
Sušnik;Rok;OK Azimut;M45;;;;;;;0;0;308
Giovannini;Marco;OK Trzin;M45;;;;*;;;0;0;594
Pestotnik;Rok;OK Polaris;M45;;;;;;;0;0;705
Pobežin;Robert;OK Polaris;M45;;;;;;;0;0;223
Kmetič;Sandi;OK Polaris;M45;;;;;;;0;0;67
Močnik;Silvij;OK Azimut;M50;0:29:20;3;15;25;;15;40;20;193
Borštnik;Aleš;OK Tivoli;M50;0:30:44;4;12;20;20;12;40;20;24
Bončina;Igor;OK Azimut;M50;0:28:32;2;20;15;;20;35;18;98
Benko;Robert;OK Polaris;M50;0:27:44;1;25;8;;25;33;16;151
Čerin;Aleš;OK Tivoli;M50;;;;;25;;25;25;587
Korelc;Andrej;OK Komenda;M50;;;;12;12;;24;12;756
Kacin;Vojko;OK Azimut;M50;;;;5;15;;20;10;119
Smole;Dušan;OK Polaris;M50;0:33:43;5;10;7;10;10;20;10;472
Zupan;Aleš;OK Polaris;M50;0:37:15;6;8;10;;8;18;9;55
Leban;Marijan;OK Azimut;M50;0:43:47;8;6;;8;6;14;7;186
Zavrl;Janez;OK Komenda;M50;0:42:39;7;7;3;7;7;14;7;610
Rejec;Pavel;OK Azimut;M50;0:46:58;9;5;4;-;5;9;4;493
Čopi;Simon;PD Tolmin;M50;;;;6;;;6;6;834
Tarabocchia;Cesare;OK Azimut;M50;;;;*;;;0;0;91
Rogulja;Vlado;OK Polaris;M50;;;;;;;0;0;315
Pernek;Vinko;MOK;M50;;;;*;-;;0;0;395
Volčič;Roman;OK Tivoli;M50;;;;;;;0;0;29
Sladič;Roman;ŠOK;M50;;;;;;;0;0;39
Sedej;Vlado;OK Azimut;M60;0:40:43;1;25;12;25;25;50;25;118
Lapajne;Janko;OK Azimut;M60;0:42:15;2;20;15;20;20;40;20;105
Knap;Črtomir;OK Azimut;M60;0:45:21;3;15;8;15;15;30;15;198
Čufer;Stanko;PD Ajdovščina;M60;;;;25;;;25;25;336
Kete;Ivo;PD Ajdovščina;M60;;;;20;;;20;20;412
Nelson;Charles;OK Azimut;M60;;;;10;;;10;10;643
Pirman;Srečo;ŠOK;M60;;;;*;;;0;0;139
Boyadzhiev;Ivan;MOK;M60;wrongKat;;;*;;*;0;0;635
Kölner;Brina;OK Komenda;Ž10;0:08:20;1;25;25;25;25;50;25;803
Trunk;Neža;OK Komenda;Ž10;0:14:11;3;15;15;20;15;35;18;887
Raj;Ema Pika;OK Slovenj Gradec;Ž10;;;;20;;;20;20;853
Jeraj;Ajda;OK Komenda;Ž10;0:10:31;2;20;;;20;20;20;896
Raj;Lili Ivana;OK Slovenj Gradec;Ž10;;;;12;;;12;12;949
Kepic;Ema;Kamniški OK;Ž10;;;;;;;0;0;816
Anderluh;Ana Maja;OK Polaris;Ž10;;;;*;;;0;0;813
Mezga;Frida;OK Slovenj Gradec;Ž10;;;;;;;0;0;979
Rupnik;Manca;OK Azimut;Ž10;;;;;;;0;0;869
Eržen;Nea;OK Azimut;Ž12;0:13:12;2;20;20;25;20;45;22;597
Salopek;Dorja;OK Azimut;Ž12;;;;25;20;;45;22;850
Obid;Neža;OK Azimut;Ž12;0:12:36;1;25;15;15;25;40;20;847
Ferenc;Tinka;OK Tivoli;Ž12;0:17:51;3;15;12;8;15;27;14;727
Kremžar;Lucija;OK Komenda;Ž12;0:25:23;5;10;7;10;10;20;10;911
Kunc;Mojca;OK Tivoli;Ž12;0:21:17;4;12;6;;12;18;9;774
Švigelj;Zala Mia;OK Komenda;Ž12;;;;-;12;;12;12;889
Lozar;Zala;PD Ajdovščina;Ž12;;;;10;;;10;10;863
Groff;Ema;OK Azimut;Ž12;0:41:09;6;8;;;8;8;8;858
Mamič;Hana;PD Ajdovščina;Ž12;;;;8;;;8;8;864
Kern;Patricija;OK Komenda;Ž12;;;;;;;0;0;883
Pestotnik Stres;Luna;OK Polaris;Ž12;;;;;;;0;0;728
Rupnik;Neja;OK Azimut;Ž12;;;;;;;0;0;870
Močnik;Jana;OK Azimut;Ž12;;;;;;;0;0;973
Pust;Karin;OK Komenda;Ž14;0:22:18;1;25;25;12;25;50;25;837
Leban;Manja;OK Azimut;Ž14;0:22:54;2;20;;20;20;40;20;783
Malus;Vita;OK Komenda;Ž14;0:28:53;4;12;12;25;12;37;18;898
Kavčič;Lucija;OK Komenda;Ž14;0:23:39;3;15;20;;15;35;18;835
Ferenc;Zala;OK Tivoli;Ž14;0:29:23;5;10;15;15;10;30;15;506
Stres;Tinkara;PD Ajdovščina;Ž14;;;;;;;0;0;964
Gregorčič;Ema;PD Ajdovščina;Ž14;;;;;;;0;0;965
Kern;Tina;OK Komenda;Ž16;0:29:23;1;25;15;25;25;50;25;647
Tušar;Teja;OK Azimut;Ž16;0:31:53;2;20;20;20;20;40;20;735
Ravnikar;Nika;OK Komenda;Ž16;0:32:36;3;15;10;15;15;30;15;441
Babič;Katja;OK Komenda;Ž16;;;;25;;;25;25;818
Serženta Seljak;Zala;OK Azimut;Ž16;0:50:39;4;12;12;12;12;24;12;936
Škarabot;Anja;OK Polaris;Ž16;;;;-;;;0;0;399
Kmetič;Zarja;OK Polaris;Ž16;;;;;;;0;0;584
Tušar;Patricija;OK Azimut;Ž16;;;;;;;0;0;962
Špenko;Zala;OK Komenda;Ž16;;;;;;;0;0;767
Anderluh;Katarina Eva;OK Polaris;Ž16;;;;-;;;0;0;445
Zavrl;Zala;OK Komenda;Ž18;0:35:34;1;25;25;;25;50;25;513
Poljanšek;Nika;OK Azimut;Ž18;0:51:25;3;15;15;25;15;40;20;257
Razpet;Deja;OK Azimut;Ž18;;;;20;20;;40;20;733
Pogačar;Ana Pia;OK Komenda;Ž18;0:35:39;2;20;12;;20;32;16;515
Štrumbelj;Lana;OK Polaris;Ž18;0:57:09;4;12;10;;12;22;11;855
Primožič;Patricija;OK Komenda;Ž18;;;;;;;0;0;649
Šalamun;Ana;OK Polaris;Ž18;;;;;;;0;0;332
Letonja;Arlina;OK Azimut;Ž18;;;;;;;0;0;935
Ferenc;Julija;OK Tivoli;Ž18;;;;-;;;0;0;409
Čibej;Barbara;OK Azimut;Ž18;;;;*;;;0;0;939
Pestotnik Stres;Dora;OK Polaris;Ž18;;;;;;;0;0;707
Stojan;Petra;OK Komenda;Ž21B;0:29:47;4;12;20;25;12;45;22;892
Istenič;Maja;OK Azimut;Ž21B;0:28:17;2;20;12;15;20;35;18;930
Bogataj;Nataša;OK Azimut;Ž21B;0:29:45;3;15;-;20;15;35;18;817
Prezelj;Katja;OK Azimut;Ž21B;;;;25;;;25;25;181
Paradiž;Petra;OK Komenda;Ž21B;;;;15;10;;25;12;912
Gantar;Damjana;OK Azimut;Ž21B;0:26:30;1;25;-;;25;25;25;919
Obid;Maja;OK Azimut;Ž21B;0:46:43;6;8;10;12;8;22;11;933
Zupan;Lara;OK Komenda;Ž21B;0:29:59;5;10;*;;10;10;10;762
Jerše;Damjana;OK Polaris;Ž21B;0:47:34;7;7;-;;7;7;7;868
Bončina;Abigael Vanessa;OK Azimut;Ž21B;0:52:51;8;6;;;6;6;6;931
Pečlin;Tinkara;ŠOK;Ž21B;;;;;;;0;0;329
Poljanšek;Katjuša;OK Azimut;Ž21B;;;;;;;0;0;182
Draksler;Špela;ŠOK;Ž21B;;;;;;;0;0;408
Mlakar;Nataša;OK Azimut;Ž21B;;;;;;;0;0;937
Drobnič;Jadranka;OK Azimut;Ž21B;;;;;;;0;0;758
Leban;Mineja;OK Azimut;Ž21B;;;;;;;0;0;385
Kalan;Petra;ŠOK;Ž21B;;;;;;;0;0;141
Jurkovič;Lucija;OK Komenda;Ž21B;;;;-;;;0;0;894
Humar;Anja;OK Azimut;Ž21B;;;;;;;0;0;674
Gombač Šuc;Elena;OK Komenda;Ž21B;wrongKat;;;;;*;0;0;945
Arh;Tina;OK Polaris;Ž21B;;;;;;;0;0;616
Vuga Seljak;Alenka;OK Komenda;Ž21B;;;;;;;0;0;612
Ojstrež;Alja;ŠOK;Ž21B;;;;;;;0;0;405
Jeram;Nuša;OK Azimut;Ž21E;0:39:23;1;25;25;;25;50;25;421
Flerin Drevenšek;Mojca;Kamniški OK;Ž21E;0:39:48;2;20;15;25;20;45;22;82
Flašker;Ajda;OK Komenda;Ž21E;0:42:36;3;15;12;20;15;35;18;519
Bogataj;Tajda;OK Azimut;Ž21E;0:51:43;7;7;20;15;7;35;18;843
Pribaković Borštnik;Ana;OK Tivoli;Ž21E;0:50:30;6;8;10;12;8;22;11;23
Ravnikar;Monika;OK Komenda;Ž21E;0:55:09;8;6;*;10;6;16;8;357
Kmetec;Barbara;Kamniški OK;Ž21E;;;;8;8;;16;8;667
Foški;Tajda;OK Polaris;Ž21E;0:48:35;4;12;*;;12;12;12;129
Gantar;Lara;OK Azimut;Ž21E;0:49:41;5;10;;;10;10;10;673
Flerin Drevenšek;Suzana;Kamniški OK;Ž21E;1:04:17;9;5;*;;5;5;5;316
Bernik;Jerca;ŠOK;Ž21E;;;;*;;;0;0;22
Tomažin;Urša;OK Azimut;Ž21E;;;;*;;;0;0;117
Pretnar;Tanja;Kamniški OK;Ž21E;;;;;;;0;0;112
Osterman;Eneja;OK Polaris;Ž21E;;;;;;;0;0;66
Jezeršek;Polona;OK Komenda;Ž21E;;;;;;;0;0;715
Pavlinič;Barbara;OK Komenda;Ž21E;;;;;;;0;0;828
Tekavc Uršič;Alja;OK Polaris;Ž21E;;;;;;;0;0;856
Mirnik;Jona;OK Komenda;Ž21E;;;;;;;0;0;545
Foški;Brina;OK Polaris;Ž21E;;;;*;;;0;0;128
Zagorc;Tina;Kamniški OK;Ž21E;;;;-;;;0;0;670
Hribar;Anica;OK Brežice;Ž35;0:36:41;1;25;25;25;25;50;25;44
Plavčak;Ana;ŠOK;Ž35;0:48:58;3;15;15;20;15;35;18;401
Zupan;Romana;OK Komenda;Ž35;0:47:55;2;20;12;15;20;35;18;713
Žižek;Saša;OK Azimut;Ž35;0:51:14;4;12;-;10;12;22;11;110
Foški;Mojca;OK Polaris;Ž35;;;;20;;;20;20;59
Hacin Kölner;Irena;OK Komenda;Ž35;;;;8;12;;20;10;630
Kobentar;Katja;Kamniški OK;Ž35;0:55:19;5;10;;;10;10;10;668
Balažič;Petja;OK Slovenj Gradec;Ž35;;;;10;;;10;10;294
Raj;Nastja;OK Slovenj Gradec;Ž35;;;;7;;;7;7;203
Verbič Trunk;Špela;OK Komenda;Ž35;;;;;;;0;0;719
Pretnar;Irma;Kamniški OK;Ž35;;;;*;;;0;0;99
Pravato;Lorenza;PD Ajdovščina;Ž35;;;;;;;0;0;861
Hribar;Lidija;Kamniški OK;Ž35;;;;-;;;0;0;277
Dolar;Lena;OK Slovenj Gradec;Ž35;;;;;;;0;0;954
Anžur;Andreja;OK Tivoli;Ž35;;;;;;;0;0;4
Štifter;Ksenija;OK Slovenj Gradec;Ž35;;;;;;;0;0;955
Poljanšek;Marjanca;OK Azimut;Ž45;0:48:30;2;20;25;25;20;50;25;188
Rejec;Marjana;OK Azimut;Ž45;0:43:09;1;25;20;20;25;45;22;495
Balažič;Irena;OK Slovenj Gradec;Ž45;;;;15;;;15;15;298
Škarabot;Alenka;OK Polaris;Ž45;0:53:50;3;15;*;-;15;15;15;462
Zaman Groff;Maja;OK Azimut;Ž45;1:13:14;4;12;;;12;12;12;201
Ortar;Miranda;PD Tolmin;Ž45;;;;;;;0;0;738
Prosen;Maja;OK Komenda;Ž45;;;;-;;;0;0;232
Ledinšek;Biserka;OK Tivoli;Ž45;;;;;;;0;0;820
Kunc Rešek;Natalija;OK Tivoli;Ž45;;;;;;;0;0;900
Babič;Anja;OK Trzin;Ž45;;;;;;;0;0;8
Anderluh;Marija;OK Polaris;Ž45;;;;;;;0;0;400
Debeljak;Maruša;OK Polaris;Ž45;;;;;;;0;0;322
