Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;Sum;Average;ID
Tušar;Peter;OK Azimut;M21E;0:49:09;4;12;25;8;12;37;18;419
Hribar;Andraž;OK Brežice;M21E;;;;12;25;;37;18;45
Blaž;Matic;OK Komenda;M21E;0:43:42;1;25;*;10;25;35;18;520
Piltaver;Jaka;OK Brežice;M21E;0:45:58;2;20;;15;20;35;18;57
Hvala;Gregor;OK Azimut;M21E;;;;10;12;;22;11;424
Boyadzhiev ml.;Ivan;MOK;M21E;0:47:06;3;15;*;7;15;22;11;590
Kračun;Rajko;Kamniški OK;M21E;;;;15;6;;21;10;133
Zmrzlikar;Jure;OK Komenda;M21E;;;;20;;;20;20;72
Dovč;Jan;OK Tivoli;M21E;;;;;20;;20;20;410
Bogovič;Vid;OK Brežice;M21E;0:50:43;5;10;*;*;10;10;10;47
Čerin;Boštjan;OK Tivoli;M21E;;;;8;;;8;8;588
Kropivšek;Leon;MOK;M21E;0:52:01;6;8;;;8;8;8;280
Ravnikar;Žan;OK Komenda;M21E;0:52:41;7;7;*;;7;7;7;397
Stanonik;Simon;OK Azimut;M21E;1:04:05;8;6;*;;6;6;6;620
Lapajne;Jošt;OK Azimut;M21E;;;;;;;0;0;363
De Luisa;Andraž;OK Azimut;M21E;;;;*;;;0;0;595
Bogataj;Mark;OK Azimut;M21E;;;;;;;0;0;677
Štanfel;Matjaž;OK Azimut;M21E;;;;;;;0;0;769
Zorman;Jernej;OK Komenda;M21E;;;;;;;0;0;276
Petrovič;Blaž;OK Polaris;M21E;;;;;;;0;0;70
Borštnik;Andrej;OK Tivoli;M21E;mp;;;;;-;0;0;25
Šumečki;Žan Luka;OK Tivoli;M21E;;;;;;;0;0;541
Nagy;Ivan;OK Polaris;M21E;;;;;;;0;0;170
Bauman;Boris;MOK;M35;0:43:51;1;25;12;25;25;50;25;62
Kölner;Blaž;OK Komenda;M35;0:50:08;5;10;25;*;10;35;18;556
Anderluh;Gregor;OK Polaris;M35;0:46:29;2;20;10;;20;30;15;155
Jevševar;Bojan;OK Brežice;M35;0:46:59;4;12;15;*;12;27;14;43
Poljanšek;Aleš;OK Azimut;M35;;;;6;15;;21;10;176
Pretnar;Janez;Kamniški OK;M35;;;;20;;;20;20;102
Salopek;Tihomir;OK Azimut;M35;;;;-;20;;20;20;851
Kenda;Klemen;OK Azimut;M35;0:50:44;6;8;8;10;8;18;9;1
Raj;Gregor;OK Slovenj Gradec;M35;;;;7;8;;15;8;282
Šalamun;Miro;OK Polaris;M35;0:46:51;3;15;;*;15;15;15;2
Rojc;Iztok;OK Polaris;M35;;;;;12;;12;12;65
Obid;Marko;OK Azimut;M35;;;;4;7;;11;6;392
Kolman;Miran;Kamniški OK;M35;0:55:10;7;7;1;;7;8;4;123
Sedej;Matej;OK Azimut;M35;0:59:57;8;6;2;;6;8;4;108
Kremžar;Tomaž;OK Komenda;M35;1:07:35;9;5;3;;5;8;4;910
Petrovič;Dušan;OK Polaris;M35;;;;5;;;5;5;69
Cokan;Samo;OK Slovenj Gradec;M35;;;;1;;;1;1;217
Cvelbar;Uroš;OK Azimut;M35;;;;;;;0;0;115
Kmetič;Sandi;OK Polaris;M35;;;;;;;0;0;67
Andrejc;Gregor;OK Slovenj Gradec;M35;;;;;;;0;0;214
Miheljak;Blaž;OK Slovenj Gradec;M35;;;;;;;0;0;283
Sekuti;Damjan;OK Slovenj Gradec;M35;;;;;;;0;0;284
Dudić;Marko;OK Slovenj Gradec;M35;;;;*;;;0;0;467
Pogorelčnik;Primož;OK Slovenj Gradec;M35;;;;;;;0;0;854
Rozzi;Alessio;PD Ajdovščina;M35;;;;-;;;0;0;860
Allwinger;Herwig;MOK;M35;;;;*;*;;0;0;60
Kustec;Stanislav;MOK;M35;;;;*;*;;0;0;125
Kostanjevec;Matej;MOK;M35;;;;;*;;0;0;443
Kokelj;Denis;Kamniški OK;M35;;;;*;*;;0;0;436
Savinšek;Primož;OK Polaris;M35;;;;;;;0;0;134
Benko;Robert;OK Polaris;M35;;;;;*;;0;0;151
Cimerman;Andrej;OK Polaris;M35;;;;;*;;0;0;444
Lebar;Daniel;OK Slovenske Konjice;M35;;;;;;;0;0;6
Nagy;Goran;OK Polaris;M35;;;;;;;0;0;921
Škarabot;Miha;OK Polaris;M45;0:40:14;2;20;25;;20;45;22;54
Jazbar;Jožko;OK Azimut;M45;0:48:29;9;5;15;25;5;40;20;106
Pust;Tomaž;OK Komenda;M45;0:39:24;1;25;10;15;25;40;20;893
Foški;Valter;OK Polaris;M45;0:42:40;3;15;12;20;15;35;18;58
Kunc;Robert;OK Tivoli;M45;;;;20;12;;32;16;726
Močnik;Silvij;OK Azimut;M45;0:43:25;4;12;*;10;12;22;11;193
Bončina;Igor;OK Azimut;M45;0:44:46;5;10;;8;10;18;9;98
Borštnik;Aleš;OK Tivoli;M45;0:44:49;6;8;6;7;8;15;8;24
Pribaković Borštnik;Ana;OK Tivoli;M45;0:47:35;8;6;8;*;6;14;7;23
Groff;Tomaž;OK Azimut;M45;0:47:31;7;7;;;7;7;7;240
Zupan;Aleš;OK Polaris;M45;;;;7;;;7;7;55
Korelc;Andrej;OK Komenda;M45;;;;5;;;5;5;756
Radovan;Dalibor;OK Polaris;M45;1:00:28;10;4;;;4;4;4;148
Močnik;Griša;OK Polaris;M45;;;;;;;0;0;321
Smole;Dušan;OK Polaris;M45;;;;;;;0;0;472
Pestotnik;Rok;OK Polaris;M45;;;;;*;;0;0;705
Šumečki;Janez;OK Tivoli;M45;;;;;;;0;0;542
Keresteš;Krešo;OK Trzin;M45;;;;;;;0;0;3
Čerin;Aleš;OK Tivoli;M55;0:42:42;2;20;20;*;20;40;20;587
Čufer;Stanko;PD Ajdovščina;M55;0:44:09;4;12;25;;12;37;18;336
Leban;Marijan;OK Azimut;M55;0:48:13;5;10;;25;10;35;18;186
Sladič;Roman;ŠOK;M55;;;;15;20;;35;18;39
Kete;Ivo;PD Ajdovščina;M55;0:39:40;1;25;8;;25;33;16;412
Sedej;Vlado;OK Azimut;M55;0:44:06;3;15;12;12;15;27;14;118
Knap;Črtomir;OK Azimut;M55;;;;10;15;;25;12;198
Boyadzhiev;Ivan;MOK;M55;0:49:46;6;8;;;8;8;8;635
Lapajne;Janko;OK Azimut;M55;0:52:05;7;7;;-;7;7;7;105
Rejec;Pavel;OK Azimut;M55;;;;7;;;7;7;493
Tarabocchia;Cesare;OK Azimut;M55;;;;;;;0;0;91
Pirman;Srečo;ŠOK;M55;;;;*;;;0;0;139
Nelson;Charles;OK Azimut;M55;;;;;;;0;0;643
Bogataj;Rok;OK Azimut;MŽ10;;;;25;25;;50;25;766
Eržen;Nea;OK Azimut;MŽ10;0:15:41;4;12;20;15;12;35;18;597
Obid;Neža;OK Azimut;MŽ10;;;;15;20;;35;18;847
Cokan;Jan;OK Komenda;MŽ10;0:11:45;1;25;;10;25;35;18;897
Kölner;Brina;OK Komenda;MŽ10;0:13:34;2;20;7;7;20;27;14;803
Kunc;Mojca;OK Tivoli;MŽ10;0:26:05;9;5;10;12;5;22;11;774
Trunk;Nejc;OK Komenda;MŽ10;0:15:30;3;15;5;;15;20;10;839
Trunk;Neža;OK Komenda;MŽ10;0:23:43;8;6;8;;6;14;7;887
Kremžar;Lucija;OK Komenda;MŽ10;0:16:56;6;8;6;;8;14;7;911
Ilovar;Rok;OK Tivoli;MŽ10;;;;12;;;12;12;916
Švigelj;Zala Mia;OK Komenda;MŽ10;0:16:35;5;10;;;10;10;10;889
Raj;Ema Pika;OK Slovenj Gradec;MŽ10;;;;;8;;8;8;853
Seljak;Jaka;OK Komenda;MŽ10;0:18:27;7;7;;;7;7;7;884
Rupnik;Manca;OK Azimut;MŽ10;;;;;;;0;0;869
Rupnik;Neja;OK Azimut;MŽ10;;;;;;;0;0;870
Tomažič;Maks;OK Komenda;MŽ10;;;;;;;0;0;717
Malus;Ožbej;OK Komenda;MŽ10;wrongKat;;;*;*;*;0;0;840
Kölner;Anže;OK Komenda;MŽ10;wrongKat;;;*;*;*;0;0;879
Kern;Patricija;OK Komenda;MŽ10;;;;*;;;0;0;883
Lončar;Naja;OK Komenda;MŽ10;;;;;;;0;0;885
Zarnik;Maja;OK Komenda;MŽ10;;;;*;;;0;0;888
Saksida;Nina;OK Komenda;MŽ10;;;;*;;;0;0;890
Malus;Drejc;OK Komenda;MŽ10;;;;;;;0;0;895
Jeraj;Ajda;OK Komenda;MŽ10;wrongKat;;;;;*;0;0;896
Anderluh;Ana Maja;OK Polaris;MŽ10;wrongKat;;;-;*;*;0;0;813
Foški;Oskar;OK Polaris;MŽ10;wrongKat;;;;;*;0;0;878
Kepic;Lara;Kamniški OK;MŽ10;;;;;;;0;0;815
Kurinčič;Jakob;OK Komenda;MŽ10;wrongKat;;;;*;*;0;0;915
Gantar;Borut;OK Azimut;MŽ10;;;;;;;0;0;920
Cvelbar;Luka;OK Azimut;MŽ10;;;;;;;0;0;922
Sedej;David;OK Azimut;MŽ10;;;;;;;0;0;923
Sedej;Rok;OK Azimut;MŽ10;;;;;;;0;0;924
Ferenc;Tinka;OK Tivoli;Ž12;;;;25;25;;50;25;727
Malus;Vita;OK Komenda;Ž12;0:21:48;1;25;20;12;25;45;22;898
Kavčič;Lucija;OK Komenda;Ž12;0:23:40;2;20;-;20;20;40;20;835
Salopek;Dorja;OK Azimut;Ž12;;;;15;15;;30;15;850
Ilovar;Pia;OK Tivoli;Ž12;;;;12;;;12;12;836
Bauman;Katja;MOK;Ž12;;;;10;;;10;10;775
Čujec;Alina;OK Azimut;Ž12;;;;;;;0;0;842
Pestotnik Stres;Luna;OK Polaris;Ž12;;;;;;;0;0;728
Lozar;Zala;PD Ajdovščina;Ž12;;;;;;;0;0;863
Mamič;Hana;PD Ajdovščina;Ž12;;;;;;;0;0;864
Groff;Ema;OK Azimut;Ž12;;;;;;;0;0;858
Babič;Katja;OK Komenda;Ž14;0:31:06;2;20;20;25;20;45;22;818
Ravnikar;Nika;OK Komenda;Ž14;0:30:09;1;25;;20;25;45;22;441
Tušar;Teja;OK Azimut;Ž14;0:31:47;3;15;25;12;15;40;20;735
Pust;Karin;OK Komenda;Ž14;;;;8;15;;23;12;837
Kern;Tina;OK Komenda;Ž14;0:36:11;4;12;;10;12;22;11;647
Ferenc;Zala;OK Tivoli;Ž14;;;;15;7;;22;11;506
Leban;Manja;OK Azimut;Ž14;0:43:34;5;10;;8;10;18;9;783
Škarabot;Anja;OK Polaris;Ž14;;;;12;6;;18;9;399
Špenko;Zala;OK Komenda;Ž14;0:52:51;6;8;10;;8;18;9;767
Anderluh;Katarina Eva;OK Polaris;Ž14;0:59:10;7;7;7;5;7;14;7;445
Rodman;Ema;PD Ajdovščina;Ž14;;;;6;;;6;6;770
Zabukovec;Zala;PD Ajdovščina;Ž14;;;;5;;;5;5;772
Kmetič;Zarja;OK Polaris;Ž14;;;;;;;0;0;584
Krušec;Mia;PD Ajdovščina;Ž14;;;;;;;0;0;784
Ličen;Mia;PD Ajdovščina;Ž14;;;;;;;0;0;785
Pogačar;Ana Pia;OK Komenda;Ž16;0:43:12;1;25;;25;25;50;25;515
Razpet;Deja;OK Azimut;Ž16;;;;25;;;25;25;733
Ipavec;Kristina;OK Azimut;Ž16;1:38:13;2;20;;;20;20;20;871
Leban;Tijana;OK Azimut;Ž16;;;;;;;0;0;857
Jevševar;Jedert;OK Brežice;Ž16;;;;;;;0;0;46
Pestotnik Stres;Dora;OK Polaris;Ž16;;;;;;;0;0;707
Bratina;Kaja;PD Ajdovščina;Ž16;;;;;;;0;0;624
Bratina;Lara;PD Ajdovščina;Ž16;;;;;;;0;0;692
Durn;Sara;PD Ajdovščina;Ž16;;;;;;;0;0;782
Fučka;Sara;PD Ajdovščina;Ž16;;;;-;;;0;0;810
Jezeršek;Polona;OK Komenda;Ž18;0:47:24;1;25;20;20;25;45;22;715
Poljanšek;Nika;OK Azimut;Ž18;0:47:53;2;20;25;15;20;45;22;257
Zavrl;Zala;OK Komenda;Ž18;0:47:57;3;15;*;25;15;40;20;513
Primožič;Patricija;OK Komenda;Ž18;1:00:17;4;12;15;;12;27;14;649
Leban;Mineja;OK Azimut;Ž18;1:04:13;5;10;;12;10;22;11;385
Ferenc;Julija;OK Tivoli;Ž18;;;;12;;;12;12;409
Štrumbelj;Lana;OK Polaris;Ž18;;;;10;;;10;10;855
Foški;Brina;OK Polaris;Ž18;wrongKat;;;*;*;*;0;0;128
Tekavc Uršič;Alja;OK Polaris;Ž18;;;;-;;;0;0;856
Šalamun;Ana;OK Polaris;Ž18;;;;;;;0;0;332
Zupan;Romana;OK Komenda;Ž21B;0:45:42;1;25;25;15;25;50;25;713
Stojan;Petra;OK Komenda;Ž21B;1:01:46;3;15;20;20;15;40;20;892
Dovč;Katja;OK Tivoli;Ž21B;;;;;25;;25;25;642
Bogataj;Nataša;OK Azimut;Ž21B;;;;12;12;;24;12;817
Jerše;Damjana;OK Polaris;Ž21B;;;;15;8;;23;12;868
Poljanšek;Katjuša;OK Azimut;Ž21B;1:00:14;2;20;;;20;20;20;182
Paradiž;Petra;OK Komenda;Ž21B;1:43:09;4;12;*;7;12;19;10;912
Zupan;Lara;OK Komenda;Ž21B;mp;;;*;10;-;10;10;762
Prezelj;Katja;OK Azimut;Ž21B;;;;;;;0;0;181
Humar;Anja;OK Azimut;Ž21B;;;;;;;0;0;674
Drobnič;Jadranka;OK Azimut;Ž21B;;;;;;;0;0;758
Pagon;Mateja;OK Azimut;Ž21B;;;;;;;0;0;874
Šorli;Špela;OK Azimut;Ž21B;;;;;;;0;0;875
Miklavič;Jana;OK Azimut;Ž21B;;;;;;;0;0;906
Vuga Seljak;Alenka;OK Komenda;Ž21B;;;;;;;0;0;612
Jurkovič;Lucija;OK Komenda;Ž21B;;;;;;;0;0;894
Balažič;Petja;OK Slovenj Gradec;Ž21B;;;;;;;0;0;294
Kalan;Petra;ŠOK;Ž21B;;;;;;;0;0;141
Žnidaršič;Janja;OK Polaris;Ž21B;;;;;;;0;0;826
Jeram;Nuša;OK Azimut;Ž21E;;;;25;25;;50;25;421
Flerin;Mojca;Kamniški OK;Ž21E;0:58:39;1;25;15;*;25;40;20;82
Zagorc;Tina;Kamniški OK;Ž21E;1:03:58;2;20;12;20;20;40;20;670
Foški;Tajda;OK Polaris;Ž21E;;;;20;15;;35;18;129
Ravnikar;Monika;OK Komenda;Ž21E;1:07:45;3;15;*;10;15;25;12;357
Tomažin;Urša;OK Azimut;Ž21E;1:28:23;6;8;;12;8;20;10;117
Plavčak;Ana;ŠOK;Ž21E;;;;7;8;;15;8;401
Mirnik;Jona;OK Komenda;Ž21E;1:12:30;4;12;*;;12;12;12;545
Pavlinič;Barbara;OK Komenda;Ž21E;1:26:35;5;10;*;;10;10;10;828
Drevenšek;Suzana;Kamniški OK;Ž21E;;;;10;;;10;10;316
Kmetec;Barbara;Kamniški OK;Ž21E;;;;8;;;8;8;667
Beguš;Urša;OK Azimut;Ž21E;;;;;;;0;0;617
Gantar;Lara;OK Azimut;Ž21E;;;;;;;0;0;673
Bogataj;Tajda;OK Azimut;Ž21E;;;;;;;0;0;843
Flašker;Ajda;OK Komenda;Ž21E;;;;;;;0;0;519
Bernik;Jerca;ŠOK;Ž21E;;;;*;;;0;0;22
Črnigoj;Nina;PD Ajdovščina;Ž21E;;;;;;;0;0;905
Strasser;Špela;MOK;Ž21E;;;;;;;0;0;741
Pretnar;Tanja;Kamniški OK;Ž21E;;;;*;;;0;0;112
Hribar;Anica;OK Brežice;Ž35;0:31:20;1;25;25;;25;50;25;44
Hribar;Lidija;Kamniški OK;Ž35;0:37:10;2;20;20;25;20;45;22;277
Foški;Mojca;OK Polaris;Ž35;0:52:56;4;12;15;20;12;35;18;59
Hacin Kölner;Irena;OK Komenda;Ž35;0:54:53;5;10;;15;10;25;12;630
Žižek;Saša;OK Azimut;Ž35;0:51:54;3;15;;;15;15;15;110
Pretnar;Irma;Kamniški OK;Ž35;;;;12;;;12;12;99
Pravato;Lorenza;PD Ajdovščina;Ž35;;;;10;;;10;10;861
Kobentar;Katja;Kamniški OK;Ž35;0:55:12;6;8;;;8;8;8;668
Raj;Nastja;OK Slovenj Gradec;Ž35;;;;;;;0;0;203
Gantar;Damjana;OK Azimut;Ž35;;;;;;;0;0;919
Poljanšek;Marjanca;OK Azimut;Ž45;;;;20;25;;45;22;188
Anderluh;Marija;OK Polaris;Ž45;0:41:52;1;25;;20;25;45;22;400
Škarabot;Alenka;OK Polaris;Ž45;;;;25;15;;40;20;462
Rejec;Marjana;OK Azimut;Ž45;0:54:53;3;15;15;;15;30;15;495
Zaman Groff;Maja;OK Azimut;Ž45;0:52:25;2;20;;;20;20;20;201
Kunc Rešek;Natalija;OK Tivoli;Ž45;;;;;12;;12;12;900
Ortar;Miranda;OK Azimut;Ž45;;;;;;;0;0;738
Debeljak;Maruša;OK Polaris;Ž45;;;;;;;0;0;322
Ledinšek;Biserka;OK Tivoli;Ž45;;;;;;;0;0;820
Babič;Anja;OK Trzin;Ž45;;;;;;;0;0;8
Kovač;Marija;PD Ajdovščina;Ž45;mp;;;*;;-;0;0;352
